episode_number,Season,EpisodeTitle,Ratings,Viewership,has_guest_stars,rating_category,viewership_category,GuestStars
1,1,Pilot,7.5,11.2,False,Medium-Low,High (8M+),
2,1,Diversity Day,8.3,6.0,False,Medium-High,Medium (5-8M),
3,1,Health Care,7.8,5.8,False,Medium-Low,Medium (5-8M),
4,1,The Alliance,8.1,5.4,False,Medium-Low,Medium (5-8M),
5,1,Basketball,8.4,5.0,False,Medium-High,Medium (5-8M),
6,1,Hot Girl,7.7,4.8,True,Medium-Low,Low (< 5M),Amy Adams
7,2,The Dundies,8.7,9.0,False,Medium-High,High (8M+),
8,2,Sexual Harassment,8.2,7.13,False,Medium-Low,Medium (5-8M),
9,2,Office Olympics,8.4,8.3,True,Medium-High,High (8M+),Nancy Carell
10,2,The Fire,8.4,7.6,True,Medium-High,Medium (5-8M),Amy Adams
11,2,Halloween,8.1,8.0,False,Medium-Low,High (8M+),
12,2,The Fight,8.1,7.9,False,Medium-Low,Medium (5-8M),
13,2,The Client,8.6,7.5,True,Medium-High,Medium (5-8M),Tim Meadows
14,2,Performance Review,8.2,8.0,False,Medium-Low,High (8M+),
15,2,E-Mail Surveillance,8.4,8.1,True,Medium-High,High (8M+),Ken Jeong
16,2,Christmas Party,8.9,9.7,False,Medium-High,High (8M+),
17,2,Booze Cruise,8.6,8.7,True,Medium-High,High (8M+),Rob Riggle
18,2,The Injury,9.1,10.3,False,High,High (8M+),
19,2,The Secret,8.3,8.7,False,Medium-High,High (8M+),
20,2,The Carpet,7.8,8.6,False,Medium-Low,High (8M+),
21,2,Boys and Girls,8.2,5.42,False,Medium-Low,Medium (5-8M),
22,2,Valentine's Day,8.3,8.95,True,Medium-High,High (8M+),Conan O'Brien
23,2,Dwight's Speech,8.5,8.4,False,Medium-High,High (8M+),
24,2,Take Your Daughter to Work Day,8.3,8.8,False,Medium-High,High (8M+),
25,2,Michael's Birthday,8.1,7.8,False,Medium-Low,Medium (5-8M),
26,2,Drug Testing,8.4,7.8,False,Medium-High,Medium (5-8M),
27,2,Conflict Resolution,8.7,7.4,False,Medium-High,Medium (5-8M),
28,2,Casino Night,9.4,7.6,False,High,Medium (5-8M),
29,3,Gay Witch Hunt,9.0,9.11,False,Medium-High,High (8M+),
30,3,The Convention,8.2,7.78,True,Medium-Low,Medium (5-8M),Jerome Bettis
31,3,The Coup,8.5,8.89,False,Medium-High,High (8M+),
32,3,Grief Counseling,8.0,8.83,False,Medium-Low,High (8M+),
33,3,Initiation,8.1,8.46,False,Medium-Low,High (8M+),
34,3,Diwali,7.9,8.81,False,Medium-Low,High (8M+),
35,3,Branch Closing,8.6,8.05,False,Medium-High,High (8M+),
36,3,The Merger,8.7,8.63,False,Medium-High,High (8M+),
37,3,The Convict,8.3,9.07,False,Medium-High,High (8M+),
38,3,A Benihana Christmas,8.8,8.44,False,Medium-High,High (8M+),
39,3,Back from Vacation,8.5,8.8,False,Medium-High,High (8M+),
40,3,Traveling Salesmen,8.6,10.12,False,Medium-High,High (8M+),
41,3,The Return,8.8,10.2,False,Medium-High,High (8M+),
42,3,Ben Franklin,8.1,10.11,False,Medium-Low,High (8M+),
43,3,Phyllis' Wedding,8.2,8.84,False,Medium-Low,High (8M+),
44,3,Business School,8.9,8.84,False,Medium-High,High (8M+),
45,3,Cocktails,8.5,8.3,False,Medium-High,High (8M+),
46,3,The Negotiation,9.0,6.74,False,Medium-High,Medium (5-8M),
47,3,Safety Training,8.8,7.71,False,Medium-High,Medium (5-8M),
48,3,Product Recall,8.7,7.56,False,Medium-High,Medium (5-8M),
49,3,Women's Appreciation,8.8,7.0,False,Medium-High,Medium (5-8M),
50,3,Beach Games,9.2,7.2,False,High,Medium (5-8M),
51,3,The Job,9.3,7.88,False,High,Medium (5-8M),
52,4,Fun Run,8.8,9.7,False,Medium-High,High (8M+),
53,4,Dunder Mifflin Infinity,8.3,8.49,False,Medium-High,High (8M+),
54,4,Launch Party,8.4,8.91,True,Medium-High,High (8M+),Kevin McHale
55,4,Money,8.7,8.5,False,Medium-High,High (8M+),
56,4,Local Ad,8.8,8.98,False,Medium-High,High (8M+),
57,4,Branch Wars,8.5,8.39,False,Medium-High,High (8M+),
58,4,Survivor Man,8.2,8.29,False,Medium-Low,High (8M+),
59,4,The Deposition,8.7,8.86,False,Medium-High,High (8M+),
60,4,Dinner Party,9.5,9.22,False,High,High (8M+),
61,4,Chair Model,8.0,9.81,False,Medium-Low,High (8M+),
62,4,Night Out,8.6,7.56,False,Medium-High,Medium (5-8M),
63,4,Did I Stutter?,8.3,7.67,False,Medium-High,Medium (5-8M),
64,4,Job Fair,7.8,7.22,False,Medium-Low,Medium (5-8M),
65,4,"Goodbye, Toby",9.3,8.07,False,High,High (8M+),
66,5,Weight Loss,8.8,9.2,False,Medium-High,High (8M+),
67,5,Business Ethics,8.3,8.99,True,Medium-High,High (8M+),Wendi McLendon-Covey
68,5,Baby Shower,8.0,8.07,False,Medium-Low,High (8M+),
69,5,Crime Aid,8.1,7.74,False,Medium-Low,Medium (5-8M),
70,5,Employee Transfer,8.0,9.32,False,Medium-Low,High (8M+),
71,5,Customer Survey,8.5,8.35,False,Medium-High,High (8M+),
72,5,Business Trip,8.2,8.18,False,Medium-Low,High (8M+),
73,5,Frame Toby,8.6,8.4,False,Medium-High,High (8M+),
74,5,The Surplus,8.8,8.33,False,Medium-High,High (8M+),
75,5,Moroccan Christmas,8.4,8.79,False,Medium-High,High (8M+),
76,5,The Duel,8.7,8.5,False,Medium-High,High (8M+),
77,5,Prince Family Paper,8.0,8.74,False,Medium-Low,High (8M+),
78,5,Stress Relief,9.7,22.91,True,High,High (8M+),"Cloris Leachman, Jack Black, Jessica Alba"
79,5,Lecture Circuit: Part 1,8.2,8.39,False,Medium-Low,High (8M+),
80,5,Lecture Circuit: Part 2,8.1,8.89,False,Medium-Low,High (8M+),
81,5,Blood Drive,8.0,8.63,False,Medium-Low,High (8M+),
82,5,Golden Ticket,8.7,7.51,False,Medium-High,Medium (5-8M),
83,5,New Boss,8.3,7.95,True,Medium-High,Medium (5-8M),Idris Elba
84,5,Two Weeks,8.4,8.45,False,Medium-High,High (8M+),
85,5,Dream Team,8.3,7.2,False,Medium-High,Medium (5-8M),
86,5,Michael Scott Paper Company,8.7,7.94,False,Medium-High,Medium (5-8M),
87,5,Heavy Competition,8.7,8.24,False,Medium-High,High (8M+),
88,5,Broke,9.2,7.21,False,High,Medium (5-8M),
89,5,Casual Friday,8.3,7.31,False,Medium-High,Medium (5-8M),
90,5,Cafe Disco,8.7,7.71,False,Medium-High,Medium (5-8M),
91,5,Company Picnic,9.0,6.72,False,Medium-High,Medium (5-8M),
92,6,Gossip,8.8,8.2,False,Medium-High,High (8M+),
93,6,The Meeting,8.1,7.33,False,Medium-Low,Medium (5-8M),
94,6,The Promotion,8.0,7.28,False,Medium-Low,Medium (5-8M),
95,6,Niagara: Part 1,9.4,9.42,False,High,High (8M+),
96,6,Niagara: Part 2,9.4,9.42,False,High,High (8M+),
97,6,Mafia,7.6,8.1,True,Medium-Low,High (8M+),Mike Starr
98,6,The Lover,8.6,8.52,False,Medium-High,High (8M+),
99,6,Koi Pond,8.2,8.2,False,Medium-Low,High (8M+),
100,6,Double Date,8.1,7.94,False,Medium-Low,Medium (5-8M),
101,6,Murder,8.7,7.76,False,Medium-High,Medium (5-8M),
102,6,Shareholder Meeting,8.2,7.43,False,Medium-Low,Medium (5-8M),
